frame_name,fid,class,bb0,bb1,bb2,bb3,ID,center_x_pixels,center_y_pixels,center_x_um,center_y_um,frame_number,delta_x,delta_y
52_frame_0_with_ftid,ckz3x8nvf00033867cshoc77d,0,0.12578125,0.221875,0.0421875,0.0520833333333333,52,80.5,106.5,167.70833333333334,221.87500000000003,0,0.0,0.0
52_frame_0_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,0,0.0,0.0
52_frame_1_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,1,0.0,0.0
52_frame_2_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,2,0.0,0.0
52_frame_3_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,3,0.0,0.0
52_frame_4_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,4,0.0,0.0
52_frame_5_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,5,0.0,0.0
52_frame_6_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,6,0.0,0.0
52_frame_7_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,7,0.0,0.0
52_frame_8_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,8,0.0,0.0
52_frame_9_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,9,0.0,0.0
52_frame_10_with_ftid,cl1x87vu400073f6bz31cj9hl,0,0.52109375,0.1,0.0265625,0.0375,52,333.5,48.0,694.7916666666667,100.0,10,0.0,0.0
