frame_name,fid,class,bb0,bb1,bb2,bb3,ID,center_x_pixels,center_y_pixels,center_x_um,center_y_um,frame_number,delta_x,delta_y
47_frame_0_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.15625,0.1333333333333333,0.0375,0.0583333333333333,47,100.0,63.999999999999986,208.33333333333334,133.33333333333331,0,0.0,0.0
47_frame_1_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2,0.0541666666666666,0.0375,0.0583333333333333,47,128.0,25.999999999999968,266.6666666666667,54.1666666666666,1,58.33333333333334,-79.16666666666671
47_frame_2_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2021484375,0.05,0.038671875,0.0583333333333333,47,129.375,24.0,269.53125,50.0,2,2.8645833333333144,-4.1666666666666
47_frame_3_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.204296875,0.0458333333333333,0.03984375,0.0583333333333333,47,130.75,21.999999999999986,272.39583333333337,45.83333333333331,3,2.8645833333333712,-4.166666666666693
47_frame_4_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2064453125,0.0416666666666666,0.041015625,0.0583333333333333,47,132.125,19.999999999999968,275.2604166666667,41.6666666666666,4,2.8645833333333144,-4.166666666666707
47_frame_5_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.20859375,0.0375,0.0421875,0.0583333333333333,47,133.5,18.0,278.125,37.5,5,2.8645833333333144,-4.1666666666666
47_frame_6_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2103515625,0.0359375,0.0421875,0.0572916666666666,47,134.625,17.25,280.46875,35.9375,6,2.34375,-1.5625
47_frame_7_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.212109375,0.034375,0.0421875,0.05625,47,135.75,16.5,282.8125,34.375,7,2.34375,-1.5625
47_frame_8_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2138671875,0.0328125,0.0421875,0.0552083333333333,47,136.875,15.75,285.15625,32.8125,8,2.34375,-1.5625
47_frame_9_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.215625,0.03125,0.0421875,0.0541666666666666,47,138.0,15.0,287.5,31.250000000000004,9,2.34375,-1.5624999999999964
47_frame_10_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2173828125,0.0296875,0.0421875,0.053125,47,139.125,14.25,289.84375,29.687500000000004,10,2.34375,-1.5625
47_frame_11_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.219140625,0.028125,0.0421875,0.0520833333333333,47,140.25,13.5,292.1875,28.125000000000004,11,2.34375,-1.5625
47_frame_12_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.2208984375,0.0265625,0.0421875,0.0510416666666666,47,141.375,12.75,294.53125,26.562500000000004,12,2.34375,-1.5625
47_frame_13_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.22265625,0.025,0.0421875,0.05,47,142.5,12.0,296.875,25.0,13,2.34375,-1.5625000000000036
47_frame_14_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.22265625,0.025,0.0421875,0.05,47,142.5,12.0,296.875,25.0,14,0.0,0.0
47_frame_15_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.22265625,0.025,0.0421875,0.05,47,142.5,12.0,296.875,25.0,15,0.0,0.0
47_frame_16_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.22265625,0.025,0.0421875,0.05,47,142.5,12.0,296.875,25.0,16,0.0,0.0
47_frame_17_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.22265625,0.025,0.0421875,0.05,47,142.5,12.0,296.875,25.0,17,0.0,0.0
47_frame_18_with_ftid,ckz3x1hsf001j3867igiqk5mn,0,0.22265625,0.025,0.0421875,0.05,47,142.5,12.0,296.875,25.0,18,0.0,0.0
47_frame_0_with_ftid,cl3143jm20003396cuges2p86,0,0.0234375,0.2666666666666666,0.0375,0.0583333333333333,47,15.0,127.99999999999997,31.250000000000004,266.66666666666663,0,0.0,0.0
47_frame_1_with_ftid,cl3143jm20003396cuges2p86,0,0.0296875,0.3979166666666666,0.0375,0.0583333333333333,47,19.0,190.99999999999997,39.583333333333336,397.91666666666663,1,8.333333333333332,131.25
47_frame_2_with_ftid,cl3143jm20003396cuges2p86,0,0.026953125,0.3979166666666666,0.0375,0.0583333333333333,47,17.25,190.99999999999997,35.9375,397.91666666666663,2,-3.6458333333333357,0.0
47_frame_3_with_ftid,cl3143jm20003396cuges2p86,0,0.02421875,0.3979166666666666,0.0375,0.0583333333333333,47,15.5,190.99999999999997,32.29166666666667,397.91666666666663,3,-3.6458333333333286,0.0
47_frame_4_with_ftid,cl3143jm20003396cuges2p86,0,0.021484375,0.3979166666666666,0.0375,0.0583333333333333,47,13.75,190.99999999999997,28.645833333333336,397.91666666666663,4,-3.6458333333333357,0.0
47_frame_5_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.3979166666666666,0.0375,0.0583333333333333,47,12.0,190.99999999999997,25.0,397.91666666666663,5,-3.6458333333333357,0.0
47_frame_6_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.403125,0.0375,0.0583333333333333,47,12.0,193.5,25.0,403.12500000000006,6,0.0,5.208333333333428
47_frame_7_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4083333333333333,0.0375,0.0583333333333333,47,12.0,196.0,25.0,408.33333333333337,7,0.0,5.208333333333314
47_frame_8_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4135416666666666,0.0375,0.0583333333333333,47,12.0,198.49999999999997,25.0,413.54166666666663,8,0.0,5.2083333333332575
47_frame_9_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.41875,0.0375,0.0583333333333333,47,12.0,201.0,25.0,418.75000000000006,9,0.0,5.208333333333428
47_frame_10_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4239583333333333,0.0375,0.0583333333333333,47,12.0,203.5,25.0,423.95833333333337,10,0.0,5.208333333333314
47_frame_11_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4291666666666666,0.0375,0.0583333333333333,47,12.0,205.99999999999997,25.0,429.16666666666663,11,0.0,5.2083333333332575
47_frame_12_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.434375,0.0375,0.0583333333333333,47,12.0,208.5,25.0,434.37500000000006,12,0.0,5.208333333333428
47_frame_13_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4395833333333333,0.0375,0.0583333333333333,47,12.0,211.0,25.0,439.58333333333337,13,0.0,5.208333333333314
47_frame_14_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4418560606060606,0.0375,0.0583333333333333,47,12.0,212.0909090909091,25.0,441.8560606060606,14,0.0,2.272727272727252
47_frame_15_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4441287878787879,0.0375,0.0583333333333333,47,12.0,213.1818181818182,25.0,444.12878787878793,15,0.0,2.272727272727309
47_frame_16_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4464015151515151,0.0375,0.0583333333333333,47,12.0,214.27272727272725,25.0,446.4015151515151,16,0.0,2.272727272727195
47_frame_17_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4486742424242424,0.0375,0.0583333333333333,47,12.0,215.36363636363637,25.0,448.6742424242425,17,0.0,2.2727272727273657
47_frame_18_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4509469696969697,0.0375,0.0583333333333333,47,12.0,216.45454545454544,25.0,450.9469696969697,18,0.0,2.272727272727195
47_frame_19_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4532196969696969,0.0375,0.0583333333333333,47,12.0,217.5454545454545,25.0,453.21969696969694,19,0.0,2.272727272727252
47_frame_20_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4554924242424242,0.0375,0.0583333333333333,47,12.0,218.63636363636363,25.0,455.49242424242425,20,0.0,2.272727272727309
47_frame_21_with_ftid,cl3143jm20003396cuges2p86,0,0.01875,0.4577651515151515,0.0375,0.0583333333333333,47,12.0,219.72727272727272,25.0,457.76515151515156,21,0.0,2.272727272727309
