fid,ALH Mean,ALH Max
ckz3x8nvf00033867cshoc77d,,
cl1x87vu400073f6bz31cj9hl,0.0,0.0
cl1x88mta000b3f6bi1dt6k3o,0.12654445329744204,1.3300310756536666
cl1x89ku6000f3f6bcj5o6atn,0.0,0.0
cl1x89vgd000j3f6bab0a53n1,0.0,0.0
cl1x89ze6000o3f6baic4zklo,0.0,0.0
cl1x8a7j3000s3f6bvn1rm1tw,0.007234972062213489,1.7668463875436722
cl1x8ih7n00103f6b67egfbw2,0.0,0.0
cl1x8p06c00153f6b05wzxejg,0.0,0.0
cl1x8p7bu00193f6b9qrfgs1t,0.0,0.0
cl1x8pz2c001e3f6baljsd3f1,0.0,0.0
cl1x8q3k9001i3f6bqul43214,0.0016356110390981203,0.48271799840094515
cl1x8q730001m3f6b3ehrw3ir,0.00032904755265597004,0.20349925490340479
cl1x8qbrj001r3f6bqrp39tej,0.0,0.0
cl1x8qhfm001w3f6bqonobao6,0.00013998070612312926,0.05587618318936058
cl1x8qm6k00203f6bhtj7t6h9,0.004605891650997394,1.3465737525253252
cl1x8y8wp00243f6bczckj7d5,0.03317019101679201,3.2089420418223416
cl1x8zxp700293f6bs2hoa2iz,0.001878267000005523,0.5989264929119795
cl1x9htyz002d3f6b4gnhli6c,0.057834857274673114,1.0533331744030432
cl1x9o3hb002i3f6bwfsaz760,0.0,0.0
cl1x9r870002n3f6bpj1mow54,9.028969343440728e-05,0.03223172518945551
cl1x9tim6002r3f6bnk8nzm3n,0.0,0.0
cl1x9tnl9002v3f6bkrmbhl5x,0.0,0.0
cl1x9ts9b002z3f6b0pi7kuyi,0.0,0.0
cl1x9twmy00333f6bapw23fc5,0.0,0.0
cl1x9u25i00373f6bd1lovl0h,0.0,0.0
cl1x9u91c003b3f6b9lj56i8z,0.009383233456004501,0.8096860278692865
cl1x9udl2003e3f6btxubnfcc,0.0,0.0
cl1x9un2t003i3f6byl7il2vz,0.0,0.0
cl1x9v1p4003m3f6bem40q8rb,0.0,0.0
cl1x9v6r9003q3f6bfuilxdsj,0.0027356666419096954,0.5611225525681817
cl1x9vacg003u3f6bfq428da7,0.0,0.0
cl1x9vdqc003y3f6b7vffk1iv,0.017248881836255697,2.3331738140762557
cl1x9vpnm00423f6b5taxankt,0.0,0.0
cl1xa59ta00473f6b7ox9kdpq,0.0,0.0
cl1xa5wph004c3f6bop56jnp9,0.0,0.0
cl1xa66pa004g3f6bbm5rxr18,0.0,0.0
cl1xa7ty6004k3f6bi8j7q67t,0.0,0.0
cl1xa8b6f004o3f6blg87nlno,0.0,0.0
cl52g254u000o3b6gcyhoi1fk,0.0,0.0
cl52g4ex1000s3b6g2941ltlj,0.029255164225685318,7.045050621686444
cl52ggroj000w3b6gpb2ml5nl,0.0,0.0
cl52ghqtu00113b6gm5kt6xmd,0.0005366408209910159,0.3764416080932988
cl52gqo7600193b6g4t4rsvwj,0.008742011192891593,2.7987219294920096
cl52h2pai001d3b6gvsgq4lg9,0.0004191622874433465,0.264782091117045
cl52h70ko001h3b6gjptgj215,0.07734600481536774,8.055615631664669
cl52hert9001l3b6g8cmzvln4,0.0,0.0
cl52hfm3u001q3b6gjj78l74m,0.0,0.0
