fid,ALH Mean,ALH Max
ckz3xchc8000b3867qdckbwsx,0.00011661030353957973,0.032187137075549946
cl1q4slwo000a396bwuuaialo,0.00412983928615385,0.6302881422064848
cl1q4t360000e396buikeq0yt,0.0011113372790437022,0.17246264269173794
cl1q4tlda000h396b22tgu0tm,0.0,0.0
cl1q4tsqd000k396bj9xzktnj,0.0,0.0
cl1q4tzib000n396bku91irpm,0.0,0.0
cl1q4u81d000q396bjk6dyh70,0.0,0.0
cl1q4uh0r000u396bmu73xkhg,0.013054304207270807,3.0038236518972825
cl1q4uov2000x396b1ak2gj95,0.0,0.0
cl1q4v4np0011396btna91o1k,0.0011926960171310058,0.2754588647240873
cl1q4vcut0014396bw3korj1i,0.0,0.0
cl2u3prdt000e396c1o2vgo92,0.0,0.0
cl2u3q2m7000j396cu4ux8sau,0.003566694592064275,1.0168832799953733
cl2u3qrc2000n396c9s3kkyo1,0.0,0.0
cl2u3r9cd000t396cj2nej9zr,0.016394287898229526,3.260227932820104
cl2u3s59g000x396c3fr70ijf,0.0025124145254319745,1.1216920668992911
cl2u3skfg0011396co4urj4aj,0.0,0.0
cl2u3sxy20015396c6p2mtiap,0.0,0.0
cl2u428ca0019396c17rzr8tk,0.0,0.0
cl2ubpprn0005396cwkzm7dof,0.0,0.0
cl2uc2kz30009396c7vg429f4,0.0,0.0
cl2ucqlic000d396cf2q9ivy6,0.0,0.0
cl2ucr50d000h396cr0l8f9ez,0.0,0.0
cl2ucrbec000l396crh67eapj,0.0,0.0
cl2ucrs1x000p396c2z3axlap,0.0,0.0
cl2ucsqmg000t396cytb7tb1r,0.0,0.0
cl2ucsxpp000x396cdbuf0czr,0.015440594517070938,6.0043999793047735
cl2uct5hl0011396cx2hm39g2,0.0,0.0
cl2uctko10015396cqneyuaad,0.0075540027177433255,0.8519695526240262
cl2uctrmr0019396c46gysl78,0.0,0.0
cl2ucxeoq001d396cmlghy79f,0.0,0.0
cl2ucxml8001h396cg8shefje,0.0,0.0
cl2ucz1ed001l396caznqusgz,0.0,0.0
cl2ud83u7001p396chrv60yl8,0.0,0.0
cl2uddpw1001u396cndwjix22,0.0,0.0
cl2udeago001z396cpuukphqg,0.008304552318921183,0.3380957381121059
cl2udgnxk0023396c2mkpm6qs,0.01227543314685893,0.3682629944057679
cl2udkxth0027396cjrirxqau,0.0031873636058762987,0.7274368470313143
cl2udl5ii002b396calas596q,0.0010774891354473513,0.4099142959463725
cl2udlavb002f396cr26b4twj,0.05046108078332948,20.649719722583676
cl2udljsx002j396cqvmp8k92,0.008424199347346588,2.699176678801579
cl2udlrxj002n396cq7vc183v,0.006444719679717355,1.6878532438852443
cl2udlyc9002r396cukvwi44n,0.0,0.0
cl2udm4mw002v396c6mdmottx,0.0,0.0
cl2udmc6p002z396cojo0mrkm,0.0213366891203518,2.1650773131033842
cl2udmjjx0033396capn5p2c1,0.0,0.0
cl2udmra80037396c825qcin0,0.0,0.0
cl2udmy3e003c396cg9bct67t,0.0,0.0
cl2udn7s6003h396cssvi9o83,0.012913768558173616,1.2391069354140523
cl2udp0pd003m396cvfkpo69k,0.01750085851922596,1.8249543139746407
cl2udsvf3003q396c37ertluo,0.0008140663424021435,0.16477860561260932
cl2uf2l83003v396cuw43ip1s,0.0,0.0
