fid,ALH Mean,ALH Max
ckz3vyyc0000z3867codcgkg7,5.163389747957003e-05,0.033987956103739704
cl4xsg9sb00ac356p1oo54ag8,8.69483911926631e-05,0.12755328987963677
cl4xsgatd00ag356pn78v81ab,0.0003287756004401897,0.47692742080457134
cl4xsgc7s00ak356pc8jz9vpq,0.0,0.0
cl4xsge0j00ao356p13tlqptg,0.16339669373373356,7.208946355813511
cl4xsggag00as356pyqef10d2,0.0,0.0
cl4xsghzt00ax356pe5pvev6v,1.5160253479304417e-06,0.002224009185413958
cl4xsgja900b1356p7ux71hb1,0.0004946560244783379,0.22582133607384333
cl4xsgkex00b4356p4rm0x8xb,0.025373956433187076,1.9691782642240432
cl4xsgm1x00b8356p7oxc7wov,2.965021263078207e-06,0.0025573468064051218
cl4xsgniy00bc356pnz48aa9o,0.0004690161081253862,0.36137357512464496
cl4xsgom800bg356p4xh90n9s,0.0037334243266110914,1.3945710794943285
cl4xsgq7700bk356p8b91lbqv,0.08072316705253943,4.199599862917333
cl4xsgwq300br356p0k1ppyfe,0.0005582746148787203,0.4845128666485618
cl4xsgxxc00bv356ppuucw1yc,6.464510463492891e-05,0.02950505565748472
cl4xsgz3p00by356pqgusdo21,0.0009913856894486846,0.7151051269101691
cl4xsh02b00c1356p9z3mu9uq,0.003990109944525882,5.705099040604702
cl4xsh1m900c5356pe0on7b2b,0.005426200600501616,1.1465551891114565
cl4xsh3tl00c9356pefbj324r,2.726353252841667e-06,0.003999560221918726
cl4xsh5ft00cd356p3lr3ww8r,0.0,0.0
cl4xsh72k00ch356pvxbjzv03,0.0,0.0
cl4xsh8iz00cl356pbia1b62k,0.0,0.0
cl4xshaem00cp356plbcizt9o,0.0,0.0
cl4xshc7l00ct356puxlvdquf,0.0,0.0
cl4xshdxk00cx356p03y0ofnx,0.0,0.0
cl4xshfof00d1356pknnc851a,0.0,0.0
cl4xshh7400d5356p4kzpuyuj,0.0,0.0
cl4xshj5q00d9356pn55dcg1h,0.0,0.0
