fid,total_displacement,VSL,total_frames,frames_present_by_fid,total_distance,VCL,VAP,class,WOB,LIN,STR
ckz3vwyqh000r3867ejpqrh3v,37.34051735194774,2.433092221071063,1470,753,50.081257381534755,3.2589397233668036,3.2040369633945103,0,98.31531833563423,74.6590126729144,75.93833182540219
cl3l9s21y00043r6c9z22mg77,15.86619397054979,1.0338344475491221,1470,753,16.51551382987284,1.0747147113728677,1.0635244832145503,0,98.95877221741733,96.19617528343647,97.20833547943451
cl3l9sbf400083r6cvbbylvw8,425.9079354091028,83.47795534018415,1470,251,962.5426683239749,187.90673604730986,118.98718293760403,2,63.32246807141936,44.42520640620709,70.1570986716774
cl3l9sibg000c3r6cny8ys6gz,58.481953531742484,3.8106592061906674,1470,753,73.53492398998328,4.785141136134371,4.702629082083541,0,98.27566101597817,79.63525208096726,81.03252754313172
cl3l9sm3z000g3r6c1mykp9ux,6.588078458684118,0.42927638893021514,1470,753,6.588078458684118,0.42870630076430516,0.3751180131687666,0,87.4999999999999,100.13297872340425,114.43768996960499
cl3l9souo000k3r6ck8el0afx,94.7458680570762,386.87896123306115,1470,13,156.40890124309306,589.5412431470431,78.97874233026326,0,13.396644127672067,65.62373128771348,489.8520156414493
cl3l9sy3p000o3r6crvrc7d5m,966.6200823904682,103.64197819941562,1470,458,1959.3687188957138,209.62678433600433,166.920239797619,0,79.62734357937184,49.441190698842696,62.09071969047938
cl3l9t3hw000s3r6cjt5wlsdb,0.0,0.0,1470,2,0.0,0.0,0.0,0,0.0,0.0,0.0
cl3l9t8zu000w3r6cpbwsgiug,0.0,0.0,1470,2,0.0,0.0,0.0,0,0.0,0.0,0.0
cl3l9tfu100103r6czizzmxj8,302.80087195309653,76.08842423436785,1470,196,883.8895063777551,220.9723765944388,125.96813965379815,0,57.006283588556194,34.433455170741354,60.402911754895996
cl3l9tkl700143r6cq9zyswc2,319.5727399374218,35.75128825783942,1470,439,663.25997111304,74.03129518118216,48.81081879004993,0,65.93268248325478,48.29212857932946,73.24459852152144
cl3l9tprg00183r6cl2w8qg4a,378.7428950562051,24.67872587467294,1470,753,731.3972059684215,47.59424049462505,39.75625221789693,0,83.53164543593613,51.852336791591355,62.07508127127588
cl3l9tt8f001c3r6cq5l0hgob,0.0,0.0,1470,753,0.0,0.0,0.0,0,0.0,0.0,0.0
cl3l9txy6001g3r6cnd2gffxo,4.658474953124659,0.30354424561583554,1470,753,4.658474953124659,0.3031411324078464,0.30007566028236765,0,98.98876404494179,100.13297872340425,101.1559035911823
cl3l9u18k001k3r6cped3icrn,4.658474953124665,0.30354424561583593,1470,753,12.142556509887918,0.7901530796607013,0.7672239685039596,0,97.0981431640325,38.41587831894302,39.56396802979564
cl3l9u4bl001o3r6ckc3ddmr5,0.0,0.0,1470,2,0.0,0.0,0.0,0,0.0,0.0,0.0
cl3l9u93r001s3r6cuhg8mdgx,8.838834764831743,0.5759347120701535,1470,753,10.754745125350702,0.6998439723003778,0.6860496638085113,0,98.02894515951537,82.29473066361689,83.94941976546279
cl3l9ufmk001w3r6cyq89vzx6,6.25,0.40724734042553196,1470,753,8.671411792017507,0.5642751365323477,0.5494763556883947,0,97.37738208085929,72.17176764657715,74.1155349469632
cl3l9uk3h00203r6ct590m8al,7.2916666666667425,0.47512189716312553,1470,753,7.2916666666667425,0.47449092518814134,0.4642746134017859,0,97.84688995215144,100.13297872340425,102.3363939031386
cl3l9vsu400243r6ctqrm7alj,39.66548492637453,2.5845861188728088,1470,753,41.661455278246414,2.7110375944675624,2.67480064787515,0,98.66335506868803,95.3356797466474,96.62724289101668
cl3l9xw5u00283r6c9xt8hv3w,65.59192288096315,15.910911985976211,1470,203,313.0369377448796,75.56064014531577,44.639084868374056,0,59.07716607816664,21.057142919087056,35.643454683025524
cl3l9y99c002c3r6cf9ssmaov,34.62660445540561,32.62891573682452,1470,53,340.31792887254153,314.6335568821611,178.48957093081813,0,56.729349755171654,10.370450011803714,18.280572678092973
cl3la1b35002g3r6cs234lja3,6.588078458684146,0.42927638893021697,1470,753,6.588078458684146,0.42870630076430705,0.42278857575375894,0,98.61963190184099,100.13297872340424,101.53452896992106
cl3la2ocy002k3r6c4l97swyz,47.80330793993236,60.060566386068864,1470,40,256.5554854916094,314.28046972722154,119.05196478792834,0,37.880802740068134,19.110499115073292,50.44903416172674
