fid,total_displacement,VSL,total_frames,frames_present_by_fid,total_distance,VCL,VAP,class,WOB,LIN,STR
ckz3wzlij001f3867sol86pit,156.50326696093103,5.310706427344613,1470,1445,184.19543760066233,6.246073662583013,6.062220463435797,0,97.05649966556454,85.02471655366955,87.60332058815855
cl4sb9k3h0005356fgh2i05tl,37.917239006669334,1.2866653125531837,1470,1445,51.07786504370415,1.7320521710321823,1.697764590190774,0,98.02040715546258,74.28559797863484,75.78584922710657
cl4sb9r0t000a356f3fr22n3k,363.7311468959212,15.552204361169405,1470,1147,711.1872564360397,30.38201880153962,26.361448360000704,0,86.76661196281277,51.18884450292451,58.99601626125899
cl4sb9vbv000e356fjk3h7yl0,624.141771866688,114.973484291232,1470,267,658.5344905192062,120.8546443274948,105.48270576687992,0,87.28063894759424,95.13369132896052,108.99747352454818
cl4sba04d000i356feuxuanko,111.24395270705222,3.774898672192215,1470,1445,153.94551399923054,5.220297706548302,4.761258281173874,0,91.20664277827274,72.31194242920304,79.28363573802018
cl4sba4bd000l356fifxda70f,683.181671431952,54.8785277051896,1470,611,1560.8988316132675,125.17846603772522,86.11101678496817,0,68.79059914268063,43.84023022669952,63.729972951346426
cl4sba9h6000p356fizta9ng7,152.97966458904844,36.03847867722776,1470,209,256.2669642083165,60.08172845075363,43.23453206485158,0,71.95953442033385,59.982426615384284,83.35577362828913
cl4sbacfa000t356f0n0vwnmu,84.89423567003828,2.8807600746758144,1470,1445,103.11973025772541,3.496793621196225,3.422516794004603,0,97.875858994326,82.3829023598576,84.17080902925557
cl4sbag3j000x356fg0qnddvw,20.22550816557045,0.6863226455075845,1470,1445,35.23794492161051,1.1949199315978651,1.170810003699041,0,97.98229762001007,57.43670578746003,58.61947227468387
cl4sbajh60011356f1nlii7qd,118.00294988073635,4.004255224484821,1470,1445,245.18549067695682,8.31424847278262,8.122624133232438,0,97.69522957874692,48.16136103693655,49.29755653843492
cl4sbaodz0015356fso1rbddu,51.81179214769117,1.758156381742983,1470,1445,170.22073998107027,5.772191182749096,4.963629587965784,0,85.99212033725081,30.459080894573447,35.42078131707484
cl4sbaun20018356fdw4xbwhw,474.14602510724484,79.02433751787414,1470,295,912.266974103359,151.52909061377827,101.55424794169085,0,67.01963796544867,52.15126494706793,77.81490102043526
cl4sbazoa001c356f4lz6t5lf,681.1743395803879,97.31061994005542,1470,344,1259.1503439093092,179.355717591733,115.63439391965149,0,64.47209794720334,54.25565532377582,84.15369912144968
cl4sbb4jr001g356foa7q96fb,13.897566733464949,0.47159333098322886,1470,1445,39.962588537511294,1.3551327600955387,1.3085566685300143,0,96.5629868204027,34.8005261823927,36.03919817343485
cl4sbb9kr001k356foz9ala52,115.86873709552171,4.147237485522691,1470,1370,623.2210239753019,22.290386988897662,18.425074773532472,0,82.65928618785122,18.60549791077354,22.508660271382873
cl4sbbe2n001o356fcwn1gqn6,1332.703708761712,73.20906023466804,1470,893,2397.236190861076,131.5392758703166,93.45010094041491,0,71.04349656945544,55.65566615011945,78.34026876155774
cl4sbbh2s001s356fijizhnbu,87.8959296238709,11.274608773742601,1470,383,268.99181775714834,34.41409678877355,23.646455301170146,0,68.71153831613566,32.76160011678867,47.67991071027325
cl4sbbks3001w356fxefedoh2,1118.9890534478484,39.67472041891792,1470,1383,2782.290889961584,98.57718988294839,72.76070144724218,0,73.81089026136677,40.247363985550926,54.52767720729786
cl4sbbo2u0020356fd0fnkq87,10.416666666666698,0.3534741458910445,1470,1445,18.730634968571785,0.6351564799031263,0.6265839534507734,0,98.65032842715226,55.651505900554795,56.41289470379242
cl4sbbrv50024356ficz1v42t,2.946278254944002,0.09997758621347375,1470,1445,13.005501431498553,0.44101700355946655,0.43187908718436663,0,97.9279900091499,22.669780395438384,23.14943908612873
cl4sbk21q0027356fftapt7ed,195.87765455905267,6.646817917862591,1470,1445,290.2021386121166,9.840764561933366,9.650388719329998,0,98.06543646679862,67.54371447493226,68.87616769829002
cl4sbk6i6002b356fpuhbse8f,652.7028806028225,85.51454852817727,1470,375,770.0084543909788,100.61443804042125,89.88696150276273,0,89.33803463341035,84.99232336200329,95.1356538239964
cl4sbk8io002f356fwmcd3pjv,137.00985872881145,4.649226508110638,1470,1445,314.23087708352665,10.655579914943118,9.451137482912262,0,88.69660364198691,43.63184871421854,49.192242907443465
cl4sbkbh4002j356fm66s3m92,5.892556509887802,0.19995517242694066,1470,1445,48.7859079495052,1.6543318266614222,1.520361026288398,0,91.90181811085698,12.086763320661408,13.151821769273047
cl4sbkem1002n356fxfddycqm,80.31648552583857,2.7254209077327496,1470,1445,91.6184583857653,3.106785094050173,3.046749875635859,0,98.06760955145279,87.72479670229599,89.45338537722766
cl4sbkjoj002r356fdo9o05v6,31.25,1.0604224376731302,1470,1445,56.87050119641618,1.9284806634078844,1.9016483330198302,0,98.60862849717985,54.98745503619524,55.76333012051562
cl4sbkmhx002v356flj7vcxfm,709.6510414946522,24.08095639420911,1470,1445,2429.281729724179,82.37702751313826,57.975954873989615,0,70.37878960216555,29.232611470920645,41.53611000724166
cl4sbkrjg002z356fw5lbw5td,162.66351281949431,5.775733426199436,1470,1381,183.0104918490979,6.4934931937768265,6.358991347078167,0,97.92866731842327,88.94647693994243,90.82782332851065
cl4sbkvid0033356f9np159q3,16.796370308955208,4.401187941918744,1470,188,21.597326175792425,5.6290903330522815,5.186580528012964,0,92.13887539801881,78.18648629737432,84.8572179328504
cl4sbkzsc0037356fpw3zq1eg,0.0,0.0,1470,1,0.0,0.0,0.0,0,0.0,0.0,0.0
cl4sbl2xf003b356f7apltw6o,103.2879604686712,3.5049238663191753,1470,1445,108.52477465804137,3.680078863836697,3.652434593093441,0,99.24881308890117,95.24045532722872,95.96130408322162
cl4sbl6n7003f356fph1n1pui,6.588078458684172,0.22355667899967066,1470,1445,7.112944921610711,0.24120020841448087,0.2391469830033195,0,99.14874641914359,92.68511021164153,93.48086946033835
cl4sbla0v003j356fq7o6brxl,439.1400312131529,121.56983914940392,1470,178,550.3746645076609,151.50763236446846,115.0358565225739,0,75.92743330965818,80.24007586426679,105.67995303755384
cl4sbldor003n356fz6nw845g,112.57713405088583,3.820138205327843,1470,1445,188.53569175320794,6.39325183107764,5.893784082649578,0,92.18757900322109,59.75266274915256,64.81639218127724
cl4sblih1003r356fmkaegwgz,72.11614137779577,2.447154381933513,1470,1445,141.98536276989108,4.814728564515338,4.7256150261137115,0,98.14914720097836,50.82642456667439,51.78488658958796
cl4sblncn003v356fdfwxtd52,101.05777363029088,3.429245781083278,1470,1445,102.05751405226938,3.460773832914325,3.442700427993229,0,99.47776405527557,99.0889883779404,99.60918333757567
cl4sbm49z003z356fg19quzbr,762.9388821178419,110.6035657508114,1470,339,902.1169300713054,130.39448251768133,110.44190343748876,0,84.69829497771347,84.82227439018648,100.14637769568517
cl4sbnp6l0043356f929tcrw6,10.62295731998505,0.3604743134897974,1470,1445,11.279611588277373,0.38249201925646453,0.3799610793278846,0,99.33830255242975,94.2436169493241,94.87137843892921
cl4sbnxv00047356f8wdlcgvj,136.87515854886811,4.6446556571291815,1470,1445,145.0216139742247,4.917687947914886,4.881213625631024,0,99.25830344116635,94.44795412646158,95.15370588864032
cl4x5svmz0003356fdijlb1j7,1328.7241295694153,57.97638677551322,1470,1124,4003.8024207135113,174.54298809160326,112.17518834039953,0,64.26794313933023,33.216107624493155,51.683788218462226
