frame_name,fid,class,bb0,bb1,bb2,bb3,ID,center_x_pixels,center_y_pixels,center_x_um,center_y_um,frame_number,delta_x,delta_y,avg_center_x_um,avg_center_y_um,riser,ALH Mean,ALH Max
14_frame_0_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.20859375,0.825,0.0359375,0.0375,14,133.5,396.0,278.125,825.0000000000001,0,0.0,0.0,278.125,819.7916666666667,22.848831630245023,0.9088418095408154,95.20346512602093
14_frame_1_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.20859375,0.8145833333333333,0.0359375,0.0375,14,133.5,391.0,278.125,814.5833333333334,1,0.0,-10.416666666666742,255.9027777777778,779.8611111111112,0.7670389595269194,0.9088418095408154,95.20346512602093
14_frame_2_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.15859375,0.7,0.0359375,0.0375,14,101.5,336.0,211.45833333333337,700.0,2,-66.66666666666666,-114.58333333333336,233.54166666666666,736.25,21.223431102858324,0.9088418095408154,95.20346512602093
14_frame_3_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1582812499999999,0.6941666666666666,0.0359375,0.0375,14,101.29999999999994,333.2,211.04166666666657,694.1666666666667,3,-0.4166666666667993,-5.8333333333332575,211.04166666666666,694.1666666666666,2.842170943040401e-14,0.9088418095408154,95.20346512602093
14_frame_4_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.15796875,0.6883333333333332,0.0359375,0.0375,14,101.1,330.4,210.625,688.3333333333334,4,-0.4166666666665435,-5.833333333333371,210.625,688.3333333333334,0.0,0.9088418095408154,95.20346512602093
14_frame_5_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.15765625,0.6825,0.0359375,0.0375,14,100.9,327.6,210.20833333333337,682.5000000000001,5,-0.4166666666666287,-5.8333333333332575,210.20833333333334,682.5000000000001,0.0,0.9088418095408154,95.20346512602093
14_frame_6_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.15734375,0.6766666666666666,0.0359375,0.0375,14,100.7,324.8,209.79166666666669,676.6666666666667,6,-0.4166666666666856,-5.833333333333371,209.7916666666667,676.6666666666669,0.7764124921874487,0.9088418095408154,95.20346512602093
14_frame_7_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.15703125,0.6708333333333333,0.0359375,0.0375,14,100.5,322.0,209.37500000000003,670.8333333333334,7,-0.4166666666666572,-5.833333333333371,210.9027777777778,671.1111111111112,0.7764124921874284,0.9088418095408154,95.20346512602093
14_frame_8_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.16015625,0.6658333333333334,0.0359375,0.0375,14,102.5,319.6,213.54166666666669,665.8333333333334,8,4.166666666666657,-5.0,213.5416666666667,665.8333333333334,2.842170943040401e-14,0.9088418095408154,95.20346512602093
14_frame_9_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.16328125,0.6608333333333333,0.0359375,0.0375,14,104.5,317.2,217.70833333333337,660.8333333333334,9,4.166666666666657,-5.0,217.70833333333337,660.8333333333334,0.0,0.9088418095408154,95.20346512602093
14_frame_10_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.16640625,0.6558333333333334,0.0359375,0.0375,14,106.5,314.8,221.87500000000003,655.8333333333334,10,4.166666666666686,-5.0,221.875,655.8333333333334,5.684341886080802e-14,0.9088418095408154,95.20346512602093
14_frame_11_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.16953125,0.6508333333333333,0.0359375,0.0375,14,108.5,312.4,226.04166666666669,650.8333333333334,11,4.166666666666657,-5.0,226.04166666666666,650.8333333333334,0.2919432335230861,0.9088418095408154,95.20346512602093
14_frame_12_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.17265625,0.6458333333333334,0.0359375,0.0375,14,110.5,310.0,230.20833333333337,645.8333333333334,12,4.166666666666657,-5.0,230.109126984127,646.4087301587302,0.29194323352296436,0.9088418095408154,95.20346512602093
14_frame_13_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1755580357142857,0.6425595238095239,0.0359375,0.0375,14,112.35714285714285,308.42857142857144,234.0773809523809,642.5595238095239,13,3.869047619047563,-3.2738095238095184,234.07738095238096,642.5595238095239,2.842170943040401e-14,0.9088418095408154,95.20346512602093
14_frame_14_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1784598214285714,0.6392857142857142,0.0359375,0.0375,14,114.2142857142857,306.85714285714283,237.94642857142856,639.2857142857143,14,3.869047619047649,-3.2738095238095184,237.94642857142853,639.2857142857143,0.0,0.9088418095408154,95.20346512602093
14_frame_15_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1813616071428571,0.6360119047619047,0.0359375,0.0375,14,116.07142857142854,305.2857142857143,241.81547619047615,636.0119047619048,15,3.869047619047592,-3.2738095238095184,241.81547619047615,636.0119047619048,0.0,0.9088418095408154,95.20346512602093
14_frame_16_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1842633928571428,0.6327380952380952,0.0359374999999999,0.0375,14,117.9285714285714,303.7142857142857,245.68452380952377,632.7380952380953,16,3.869047619047592,-3.2738095238095184,245.68452380952377,632.7380952380953,2.842170943040401e-14,0.9088418095408154,95.20346512602093
14_frame_17_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1871651785714285,0.6294642857142858,0.0359374999999999,0.0375,14,119.78571428571423,302.14285714285717,249.55357142857136,629.4642857142858,17,3.869047619047621,-3.2738095238095184,249.55357142857142,629.4642857142858,0.0,0.9088418095408154,95.20346512602093
14_frame_18_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.1900669642857143,0.6261904761904762,0.0359375,0.0375,14,121.64285714285714,300.57142857142856,253.4226190476191,626.1904761904761,18,3.8690476190477057,-3.273809523809632,253.42261904761904,626.1904761904763,0.16735258433301062,0.9088418095408154,95.20346512602093
14_frame_19_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.19296875,0.6229166666666667,0.0359375,0.0375,14,123.5,299.0,257.2916666666667,622.9166666666667,19,3.869047619047621,-3.2738095238094047,257.39087301587307,623.2363315696649,0.16735258433291045,0.9088418095408154,95.20346512602093
14_frame_20_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.19609375,0.6206018518518519,0.0359375,0.0375,14,125.5,297.8888888888889,261.45833333333337,620.601851851852,20,4.166666666666686,-2.314814814814781,261.4583333333333,620.6018518518518,1.2710574864626038e-13,0.9088418095408154,95.20346512602093
14_frame_21_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.19921875,0.618287037037037,0.0359375,0.0375,14,127.5,296.77777777777777,265.625,618.2870370370371,21,4.166666666666629,-2.314814814814895,265.625,618.2870370370371,0.0,0.9088418095408154,95.20346512602093
14_frame_22_with_ftid,ckyw6zzlj001r3867thf0fuy7,0,0.20234375,0.6159722222222223,0.0359375,0.0375,14,129.5,295.6666666666667,269.7916666666667,615.9722222222223,22,4.166666666666686,-2.314814814814781,269.7916666666667,615.9722222222223,0.0,0.9088418095408154,95.20346512602093
